glassdoor_balance,glassdoor_values,average,glassdoor_friend,glassdoor_opportunity,glassdoor_leadership,ceo_vs_market_cap,repetition,empathic_words,skips,major_scandal,i_we_you,half_hour_minute_response_rate,carbon_sector_score,glassdoor_comp,ten_minute_response_rate,glassdoor_ceo,carbon_country_score,proportion_women,stock_phrases,company,answers,five hour response rate
3.6,3.2,-1.5,0.66,3,2.8,0.0050816753,0.2246982358,0.0147058824,49.0,0,0.3088235294,0,43.94237737,3.3,0,0.75,4284,0.230769231,0,BAE Systems PLC,2.0,0
3.4,3.7,-0.25,0.84,4.2,3.8,0.0056077294,0.164021164,0.1923076923,47.0,1,0.3846153846,0.5,33.24373478,4.1,0.5,0.96,435,0,0,Baidu Inc,4.0,0.5
3.5,3.3,0.0,0.65,3.1,3.1,0.0120022621,0.4862686668,0.2034656233,48.0,0,0.8401341532,0.838940587,4.454901804,3.4,0.6213314245,0.86,3502,0.333333333,0.0989379542,Banco Santander SA ADR,3.0,0.9105225483
3.3,3.2,-1.0,0.61,3.2,2.8,0.0115532815,0.7022512574,0.6477124183,49.0,1,0.8741830065,0.4425981873,4.454901804,3.5,0.168429003,0.73,2291,0.285714286,0.0218954248,Bank of America Corporation,2.0,0.753776435
3.3,2.8,-0.5,0.58,2.9,2.9,1.537694223,0,0,49.0,1,0,0,4.454901804,2.9,0,0.86,435,0,0,Bank of China Limited,2.0,0
3.4,3.2,-0.2857142857142857,0.60,3,2.7,0.0075209849,0.5454517413,0.3355010346,44.0,1,0.9033402306,0.9248714907,4.454901804,3.3,0.4907077896,0.62,4284,0.25,0.0795152232,Barclays PLC,7.0,0.9952550415
2.7,3.2,-0.6666666666666666,0.38,3.2,3.3,0.00093342,0.3024691358,1,48.0,0,1,0,6.2336288,3.4,0,0.50,4284,0.222222222,0,Barratt Developments PLC,3.0,0
3.6,3.7,0.6666666666666666,0.79,3.4,3.4,0.0079898642,0.4910663908,0.412979351,42.0,0,0.6312684366,0.0762711864,43.94237737,3.6,0.0254237288,0.89,3621,0.1,0.0560471976,Bayerische Motoren Werke AG,9.0,0.3474576271
2.7,3,-2.0,0.53,2.7,2.6,0.1238436565,0.4950929014,0.4096728307,50.0,0,0.5049786629,0.5297619048,370.278614,3.7,0.4166666667,0.91,579,0,0.0469416785,Bharat Petroleum Corporation Ltd ,1.0,0.5952380952
2.7,3.2,-2.0,0.67,3.2,3,0.0045634357,0.2481977343,0.125,50.0,0,0.2142857143,1,6.814095103,3.4,1,0.94,579,0.166666667,0,Bharti Airtel Limited,1.0,1
3.1,3,-2.0,0.55,2.7,2.5,0.0141523785,0.1584158416,0,50.0,1,0.2222222222,0,348.4482954,4.1,0,0.77,4284,0.333333333,0,BHP Billiton PLC,1.0,0
3.2,3.5,-1.5,0.72,3.3,3.3,0.0023616165,0.1627906977,0,47.0,0,0.1724137931,0,4.454901804,3.2,0,0.89,2291,0.2,0,BlackRock Inc,4.0,0
3.3,3.7,0.0,0.81,3.8,3.7,0.000330436,0.1231343284,0,0.0,0,0.1176470588,0,4.454901804,4.1,0,0.94,2291,0.0833333333,0,Blackstone,0.0,0
3.8,3.6,-1.125,0.73,3.1,3,0.0053050913,0.2243713733,0.2,43.0,1,0.28,0.3333333333,370.278614,4,0.1904761905,0.77,4284,0.153846154,0,BP PLC,8.0,0.7619047619
3.1,3.7,-1.3333333333333333,0.75,3.6,3.2,0.0173270508,0.1894736842,0,42.0,1,0.1538461538,0,7.582538527,3.9,0,0.87,4284,0.333333333,0,British American Tobacco Plc,9.0,0
3.1,3,-0.25,0.59,3,2.6,0.0064510322,0.4790426704,0.2302345786,47.0,0,0.558753258,0.5566353887,6.814095103,3.3,0.322386059,0.81,4284,0.272727273,0.0387706342,BT Group Plc,4.0,0.813002681
3.1,3.6,0.6,0.67,2.9,2.9,0.0028442843,0.3580865604,0,46.0,0,0.0070422535,0,118.8632177,3.6,0,0.88,4284,0.363636364,0,Burberry Group PLC,5.0,0
2.9,3.4,0.2,0.64,3,2.9,0.0036118874,0.2210823288,0.0127118644,46.0,0,0.156779661,0,285.8149657,3.1,0,0.84,2291,0.3,0,Carnival Plc,5.0,0
3.7,3.3,0.0,0.73,3.2,2.6,0.0036158344,0.1725067385,0,50.0,0,0.2,0,370.278614,3.8,0,0.62,4284,0.153846154,0,Centrica PLC,1.0,0
2.9,3,-0.5,0.58,3.2,2.8,0.0045416321,0.4214761291,0.1507319003,49.0,1,0.4688118159,0.5915492958,6.814095103,3.7,0.4127843987,0.70,2291,0.076923077,0.0054068311,Charter Communication Inc,2.0,0.9978331528
4,3.9,-2.0,0.83,3.5,3.3,0.0085294502,0.3216080402,0.3125,50.0,1,0.65625,0.125,370.278614,4.1,0,0.86,2291,0.3,0.0625,Chevron Corporation,1.0,0.25
3.7,3.5,0.0,0.73,3.4,3.5,2.8622498532,0,0,49.0,0,0,0,6.814095103,3.6,0,0.95,435,0,0,China Mobile Communications Corporation,2.0,0
3.8,2.9,-0.75,0.47,3.4,3.5,1.1517032703,0,0,47.0,0,0,0,370.278614,3.9,0,1.00,435,0,0,China Petroleum & Chemical Corp.,4.0,0
3.9,3.8,0.375,0.80,3.5,3.3,0.0080143268,0.1607476636,0.0099009901,43.0,0,0.2079207921,0,33.24373478,3.7,0,0.93,2291,0.181818182,0,Cisco Systems Inc,8.0,0.3333333333
3.3,3.3,0.4,0.68,3.3,2.9,0.0093340219,0.6270468586,0.5046082949,46.0,1,0.7091013825,0.4842519685,4.454901804,3.3,0.2598425197,0.84,2291,0.3125,0.0806451613,Citigroup Inc,5.0,0.6299212598
3.5,4,0.6,0.82,3.4,3.4,0.0051639295,0.2372093023,0.328125,46.0,1,0.53125,0.1,118.8632177,3.6,0,0.93,2291,0.3,0.03125,Colgate-Palmolive Company,5.0,0.25
3.2,3.2,-0.16666666666666666,0.65,3.3,2.9,0.0044685748,0.6863365252,0.5768472906,45.0,1,0.8753694581,0.2987477639,6.814095103,3.7,0.1854502087,0.79,2291,0.181818182,0.007635468,Comcast Corporation,6.0,0.6344663089
3.5,3.5,-1.2,0.74,3.4,3.1,0.0059831827,0.1911392405,0.0224719101,46.0,0,0.1348314607,0,4.454901804,3.5,0,0.66,9293,0.230769231,0,Credit Suisse Group,5.0,0
2.5,2.7,0.75,0.36,2.7,2.3,0.0033250327,0.174025974,0.0857142857,47.0,0,0.2857142857,0.2,118.8632177,2.7,0.2,0.37,2291,0.272727273,0.0142857143,CVS Health,4.0,0.6
3.9,3.7,0.25,0.89,3.4,3.5,0.0069918208,0.1446317657,0,47.0,0,0.1333333333,0.7272727273,43.94237737,4.2,0.3636363636,1.00,3621,0.2,0,Daimler AG,4.0,0.9090909091
3.3,3.2,-0.5,0.63,3.2,2.8,0.00667364,0.2208729898,0.0652173913,45.0,1,0.1630434783,0.1,4.454901804,3.3,0.1,0.81,3621,0.368421053,0.0597826087,Deutsche Bank AG,6.0,0.4
3.5,3.1,0.0,0.71,2.9,2.8,0.0122410071,0.1430793157,0,47.0,0,0.0434782609,0,6.814095103,3.4,0,0.96,3621,0.3,0,Deutsche Telekom AG,4.0,0
3.4,3.6,0.0,0.71,3.4,2.8,0.0120502649,0.1706539075,0.051948052,47.0,0,0.2597402597,0,118.8632177,3.6,0,0.79,4284,0.416666667,0,Diageo PLC,4.0,0
2.9,2.9,0.0,0.49,2.3,2.3,0.0009608881,0.4396456257,0.4136253041,49.0,0,0.9270072993,0.7795698925,4.454901804,3.2,0.5591397849,0.54,4284,0.25,0.0097323601,Direct Line Insurance Group PLC,2.0,0.9086021505
3.6,3.7,1.3333333333333333,0.74,3.2,3,0.0004173628,0.248553393,0.0036363636,45.0,0,0.1636363636,0.8,6.814095103,3.6,0.8,0.78,2291,0,0,Discovery Communications Inc,6.0,0.8
2.4,2.8,-1.0,0.41,2.8,2.6,0.00228974,0.5065569862,0.3906451613,49.0,0,0.7332258065,0.0405576679,118.8632177,3,0.0190114068,0.83,4284,0.230769231,0.0625806452,Dixons Carphone PLC,2.0,0.4835234474
4,5,0.0,0.52,3.7,3.8,0.0681595788,0,0,49.0,0,0,0,43.94237737,3.7,0,1.00,435,0.111111111,0,Dongfeng Motor Corporation,2.0,0
2.8,3.2,0.0,0.58,3.3,2.9,0.0005641215,0.5271310574,0.6023640662,47.0,0,0.588179669,0.0958373669,2014.275374,3.5,0.0416263311,0.90,4284,0.2,0.16643026,EasyJet PLC,4.0,0.4743465634
3.8,3.6,0.0,0.72,3.3,2.9,0.0024876723,0.4906283134,0.3811074919,48.0,0,0.8360477742,0.0588574726,33.24373478,3.9,0.0155799192,0.80,2291,0.166666667,0.0488599349,Ebay Inc,3.0,0.2833237161
3.5,3.7,0.0,0.81,3.4,3.3,0.0015005224,0.6166174223,0.3665947202,48.0,0,0.761082517,0.683586025,33.24373478,3.7,0.5052735662,0.92,2291,0.1,0.0924788312,Electronic Arts Inc,3.0,0.8777191826
3.4,3.1,0.25,0.59,2.7,2.2,0.0065933656,0.4564784053,0.5714285714,47.0,0,0.6753246753,0.0303030303,2.857809518,3.4,0,0.59,4284,0.333333333,0.012987013,Experian PLC,4.0,0.2121212121
3.4,3.5,-1.75,0.70,3.5,3.2,0.0126537753,0.2094017094,0.2894736842,47.0,1,0.6842105263,0,370.278614,3.9,0,0.85,2291,0.230769231,0,Exxon Mobil Corporation,4.0,0
3.8,4.5,1.0,0.92,4.4,4.2,0.0740682566,0.3418241578,0.5352112676,46.0,1,0.661971831,0.3333333333,33.24373478,4.6,0.0666666667,0.98,2291,0.375,0.014084507,Facebook Inc,5.0,0.8666666667
3.6,3.6,0.0,0.79,3.5,3.3,0.0026331616,0.2720883534,0.0303030303,50.0,0,0.6818181818,0.347826087,43.94237737,3.8,0.1304347826,0.92,2291,0.142857143,0,Ford Motor Company,1.0,0.652173913
3.9,3.8,2.0,0.78,3,3.2,0.0047609144,0.4179519748,0.5049614112,49.0,0,0.6681367144,0.0363951473,33.24373478,3.6,0,0.83,2291,0.142857143,0.1411245865,Garmin Ltd,2.0,0.2790294627
3.5,3.8,0.5,0.82,3.7,3.3,0.0081122469,0.2104575163,0.1590909091,45.0,1,0.5681818182,0.25,43.94237737,3.5,0.25,0.87,2291,0.25,0,General Electric Company,6.0,0.25
3.6,3.7,0.6666666666666666,0.68,3.1,2.9,0.0035091913,0.2947007244,0.2115384615,48.0,1,0.4487179487,0.0576923077,18.3139134,3.6,0,0.68,2291,0.266666667,0.0448717949,General Mills Inc,3.0,0.1730769231
3.5,3.3,-0.14285714285714285,0.73,3.4,3,0.0017577982,0.452001855,0.6279069767,44.0,0,0.8471760797,0.0620689655,43.94237737,3.8,0.0137931035,0.91,2291,0.5,0.0697674419,General Motors Company,7.0,0.6965517241
3.4,3.4,0.75,0.66,3.1,2.8,0.0104254235,0.2181132075,0.0194805195,47.0,1,0.3506493506,0,15.62358106,3.7,0,0.67,4284,0.416666667,0,Glaxosmithkline PLC,4.0,0
3.4,3.3,0.3333333333333333,0.60,3,3.3,0.0027587901,0.2423312883,0.2941176471,48.0,0,0.7058823529,0,118.8632177,3.4,0,0.77,579,0.25,0.0588235294,Godrej Consumer Products Limited,3.0,0
2.7,2.6,0.0,0.55,3.3,2.9,0.0052132347,0,0,49.0,0,0,0,118.8632177,2.4,0,0.75,435,0.375,0,Haier Group,2.0,0
2.7,2.2,0.0,0.31,2.2,2.6,0.0028631357,0.3571815718,0.0181818182,50.0,0,0.1116883117,0.5,4.454901804,1.7,0,0.39,4284,0.285714286,0,Hargreaves Lansdown PLC,1.0,1
3.3,3.6,0.0,0.71,3.5,3.2,0.0022580681,0.6844435762,0.8326947637,49.0,0,0.8033205619,0.6624605678,285.8149657,3.4,0.1009463722,0.87,2291,0.25,0.0702426565,Hilton Hotels Corporation,2.0,1
2.9,3.5,1.0,0.59,3,2.8,0.054388939,0.315491508,0.0847457627,48.0,0,0.6101694915,0,43.94237737,3.3,0,0.87,4079,0.076923077,0,Honda Motor Co Ltd,3.0,0.0476190476
3.1,3,0.0,0.60,3,2.6,0.0025547346,0.1745479833,0,49.0,0,0.3258426966,0,43.94237737,2.9,0,0.68,2291,0.25,0,Honeywell International Inc,2.0,0
3.5,3.3,-0.5,0.65,3.1,2.8,0.0139325348,0.5613194249,0.5044303797,45.0,1,0.8189873418,0.8853721129,4.454901804,3.2,0.5299401198,0.68,4284,0.3,0.2012658228,HSBC Holdings PLC,6.0,0.9760479042
2.3,2.6,-0.6,0.54,3.2,2.6,0.0001497014,0,0,46.0,1,0,0,33.24373478,3.4,0,0.76,435,0.1,0,Huawei Technologies Co. Ltd,5.0,0
2.6,3.1,-1.5,0.58,3.3,2.8,0.0323863676,0.7579943987,0.3386802771,49.0,0,0.7812613926,0.2042253521,4.454901804,3,0.0907668232,0.83,579,0.230769231,0.1447320452,ICICI Bank ,2.0,0.6971830986
3.4,3.2,-2.0,0.57,3,2.7,0.0089164938,0.1842105263,0.1666666667,49.0,0,0.3333333333,0,7.582538527,3.7,0,0.60,4284,0.3,0,Imperial Tobacco Group Plc,2.0,0
3.7,3.4,0.0,0.73,3.3,2.9,0.0017080969,0.3841086206,0.0919220056,51.0,0,0.2103064067,0.3130434783,370.278614,3.8,0.1217391304,0.81,579,0,0.008356546,Indian Oil Corporation Ltd,0.0,0.6347826087
3.4,3.8,0.16666666666666666,0.72,3.4,2.9,0.0048359386,0.2791097996,0.0119760479,45.0,0,0.1417165669,0,2.857809518,2.8,0,0.95,579,0.222222222,0,Infosys Limited,6.0,0
3.5,3.6,1.0,0.75,3.5,3,0.0121075614,0.2359550562,0.2881355932,47.0,0,0.5593220339,0.2083333333,33.24373478,3.9,0.0416666667,0.69,2291,0.181818182,0.0169491525,Intel Corporation,4.0,0.7708333333
3.5,3.7,1.0,0.77,3.5,3.3,0.0017435798,0.2446236559,0.25,45.0,0,0.5,0,285.8149657,3.4,0,0.90,4284,0.333333333,0,Intercontinental Hotel Group Plc,6.0,0
3.5,3.3,-0.4,0.59,3.2,2.7,0.0074998928,0.1725969198,0.0322580645,46.0,0,0.1693548387,0.4,33.24373478,3,0.4,0.55,2291,0.214285714,0.0080645161,International Business Machines Corporation,5.0,0.8
2.8,2.7,-2.0,0.45,2.7,2.1,0.0011503511,0.5694230105,0.4891803279,49.0,0,0.8413114754,0.0248606944,2014.275374,2.7,0.0060008573,0.53,4284,0.25,0.0797814208,International Consolidated Airlines Group,2.0,0.1924560652
2.8,3.5,1.0,0.70,3.4,3,0.1090795199,0.147826087,0,49.0,0,0.1428571429,1,118.8632177,3.6,0,0.96,579,0.153846154,0,ITC Limited ,2.0,1
3.4,3.5,0.0,0.76,3,3.5,0.0017289331,0.2504140444,0.0317124736,49.0,0,0.3615221987,0.6097560976,6.814095103,3.1,0.4390243902,0.76,4284,0.25,0.0063424947,ITV Plc,2.0,0.7317073171
3.3,3.6,0.16666666666666666,0.71,3.2,3.1,0.001748647,0.5847966728,0.4861763172,45.0,0,0.8562858633,0.1653139684,118.8632177,3.2,0.0538231525,0.77,4284,0.333333333,0.0036515389,J Sainsbury PLC,6.0,0.7009824861
2.7,2.7,0.5,0.40,3,2.7,0.0034177406,0.5576120122,0.5492227979,49.0,0,0.7579570688,0.3428201811,118.8632177,2.2,0.0905562743,0.60,4284,0.166666667,0.0666173205,JD Sports Fashion PLC,2.0,0.9042690815
3.7,4,1.3333333333333333,0.84,3.5,3.4,0.0136714125,0.271620487,0.2459016393,45.0,1,0.5491803279,0,15.62358106,4,0,0.95,2291,0.272727273,0.1229508197,Johnson & Johnson,6.0,0.1612903226
3.2,3.4,-0.5,0.69,3.4,3,0.0132413141,0.1755725191,0.0185185185,49.0,1,0.1851851852,0,4.454901804,3.5,0,0.87,2291,0.083333333,0,JPMorgan Chase & Company,2.0,0
3.5,3.4,0.0,0.46,2.6,2.5,0.0039422401,0.1224489796,0.0833333333,50.0,0,0.3333333333,0,118.8632177,3.3,0,0.72,4284,0.444444444,0,Kingfisher PLC,1.0,0
2.7,3.2,0.0,0.68,3.4,2.9,0.020898277,0,0,50.0,0,0,0,6.2336288,3,0,0.87,579,0.1,0,Larsen & Tuobro Limited,1.0,0
3.4,2.5,0.3333333333333333,0.48,2.4,2.1,0.0024587309,0.3155893536,0.2427184466,48.0,0,0.3980582524,0.4482758621,4.454901804,2.8,0.224137931,0.13,4284,0.3,0.1067961165,Legal & General Group PLC,3.0,0.6724137931
3,3.1,-0.3333333333333333,0.56,2.8,2.8,0.0003308205,0,0,48.0,0,0,0,33.24373478,3.4,0,0.78,435,0.090909091,0,Lenovo Group Ltd,3.0,0
4.2,4.5,1.0,0.89,4.2,4.1,0.0013052329,0.5176462762,0.4868871152,48.0,1,0.8061573546,0.7427101201,33.24373478,4.4,0.4545454545,0.97,2291,0.142857143,0.082668187,LinkedIn Corporation,3.0,0.897084048
3.6,3.3,0.0,0.59,3.1,2.9,0.0041849943,0.5598072805,0.3811816193,43.0,0,0.9094091904,0.8345444382,4.454901804,3.2,0.3387367244,0.77,4284,0.230769231,0.0796498906,Lloyds Banking Group PLC,8.0,0.9949692566
3.4,3.2,0.5,0.78,2.7,3,0.001316675,0.1898148148,0,49.0,0,0.0714285714,0,4.454901804,3.1,0,0.94,4284,0.181818182,0,London Stock Exchange Group PLC,2.0,0
2.8,3.2,-0.7142857142857143,0.68,3,3,0.0224224305,0.2090702948,0,44.0,1,0.0746268657,0,118.8632177,3,0,0.88,5928,0.352941176,0,LVMH Moët Hennessy Louis Vuitton SE,7.0,0.5
3.2,3.5,0.8,0.67,3,2.8,0.0045996173,0.5262764975,0.3389040031,46.0,0,0.835211815,0.0185414092,118.8632177,3.3,0.0043263288,0.43,4284,0.3,0.0660707346,Marks and Spencer Group PLC,5.0,0.4227441286
3.2,3.8,0.0,0.73,3.6,3.3,0.0016257788,0.3397742076,0.3460207612,44.0,1,0.6228373702,0.2962962963,285.8149657,3.4,0.1759259259,0.91,2291,0.3,0.0276816609,Marriott International,7.0,0.7222222222
3.6,3.5,0.7777777777777778,0.71,3.1,3,0.0071536998,0.2944325482,0.064516129,42.0,1,0.5,0.2272727273,4.454901804,3.7,0.0909090909,0.90,2291,0.166666667,0.0161290323,Mastercard Inc,9.0,0.3636363636
3.2,2.9,0.1111111111111111,0.55,2.7,2.4,0.0011140326,0.3108587651,0.5205479452,42.0,0,0.7808219178,0.12,118.8632177,3.4,0.04,0.50,2291,0.3,0.0547945206,Mattel Inc,9.0,0.38
3,3,-0.6666666666666666,0.55,3.1,2.8,0.0126159901,0.6499098143,0.0103519669,45.0,1,0.7559893523,0.2544529262,18.3139134,2.6,0.0508905852,0.69,2291,0.25,0.0026619343,Mcdonald's Corpoation,6.0,0.5267175573
3.4,3.2,-0.6,0.64,2.8,2.7,0.0071620128,0.1952580195,0.0638297872,46.0,1,0.2765957447,0,15.62358106,3.6,0,0.68,2291,0.307692308,0.0638297872,Merck & Co. Inc,5.0,0
3.6,3.7,-1.0,0.84,3.7,3.3,0.024603097,0.6127997298,0.2334070796,48.0,0,0.7201327434,0.2513134851,33.24373478,4.1,0.0560420315,0.93,2291,0.272727273,0.0282079646,Microsoft Corporation,3.0,0.7600700525
2.8,2.8,-0.5,0.48,2.7,2.6,0.0033941417,0.3544372294,0.4105263158,49.0,1,0.6315789474,0,18.3139134,3.2,0,0.45,2291,0.285714286,0,Mondelez International Inc,2.0,0.0263157895
3.8,3.7,-0.2,0.71,3.1,3,0.0026837693,0.1648634724,0.0119047619,46.0,0,0.1428571429,0.4615384615,18.3139134,3.5,0.2307692308,0.89,2291,0.1,0,Monster Beverage Corporation,5.0,0.8461538462
3.3,3.6,-0.6666666666666666,0.72,3.4,3.2,0.0027593035,0.1873417722,0.0212765957,45.0,1,0.2127659574,0,4.454901804,3.3,0,0.90,2291,0.142857143,0,Morgan Stanley,6.0,0
3.8,3.3,0.0,0.71,3.5,2.7,0.0228486656,0.4337236534,0.6635514019,47.0,0,0.8317757009,0.1754385965,370.278614,3.4,0.0701754386,0.64,4284,0.363636364,0.1308411215,National Grid PLC,4.0,0.5964912281
3.4,3.9,1.0,0.68,3.4,3.5,0.0024462004,0.4821937666,0.0686896552,43.0,1,0.3853793103,0.3485647335,33.24373478,4.4,0.2114821324,0.86,2291,0.333333333,0.0405517241,Netflix Inc,8.0,0.6004686585
3.2,3.1,-1.5,0.56,3.1,2.9,0.0002349711,0.1,0,47.0,1,0,0,6.814095103,3.1,0,0.49,2291,0.25,0,News Corporation,4.0,0
3.3,3.4,0.0,0.67,3.3,3.2,0.0013482958,0.5621790325,0.5504264927,49.0,0,0.7757150025,0.1018050542,118.8632177,3.6,0.0454873646,0.66,4284,0.555555556,0.150526844,Next PLC,2.0,0.3198555957
3.6,4.2,1.1666666666666667,0.82,3.5,3.3,0.001950121,0.5621174903,0.1342281879,45.0,0,0.538438072,0.2325268817,118.8632177,3.6,0.1088709677,0.94,2291,0.25,0.0314215985,Nike Inc,6.0,0.5456989247
3.4,3.4,0.4,0.73,3.3,2.9,0.016625448,0.1948998179,0.0845070423,46.0,1,0.4225352113,0,15.62358106,3.8,0,0.82,9293,0.25,0.0704225352,Novartis AG ADR,5.0,0
3.5,4,0.25,0.85,3.8,3.6,0.003480067,0.1722319859,0.0571428571,47.0,1,0.1904761905,0.1333333333,33.24373478,3.8,0.1333333333,0.95,2291,0.166666667,0.0095238095,Nvidia Corporation,4.0,0.6
2.5,3.1,1.6666666666666667,0.64,3.1,3,0.0002221388,0.5067574459,0.4405630865,48.0,0,0.8639207508,0.1976284585,118.8632177,2.7,0.1043478261,0.67,4284,0.090909091,0.0448383733,Ocado Group,3.0,0.7177865613
3.7,3.1,0.0,0.66,3.1,2.9,0.001976599,0.2427259653,0.0298245614,50.0,1,0.2368421053,0,33.24373478,3.1,0,0.70,2291,0.230769231,0,Oracle Corporation,1.0,0
3.3,2.8,0.0,0.35,2.4,2.2,0.0044401863,0.2086834734,0.0384615385,49.0,0,0.2820512821,0,118.8632177,3.2,0,0.25,4284,0.272727273,0,Pearson PLC,2.0,0
2.7,3.2,0.5,0.61,3.2,2.9,0.0058301024,0.1658031088,0,45.0,1,0.275862069,1,18.3139134,3.5,0,0.77,2291,0.2,0,Pepsico Inc,6.0,1
3.6,3.5,0.6666666666666666,0.77,3.3,3.2,0.0115594307,0.2109968708,0.0839160839,48.0,1,0.3076923077,0,15.62358106,3.9,0,0.85,2291,0.272727273,0.006993007,Pfizer Inc,3.0,0
3.7,3.6,0.0,0.70,3.3,3.3,0.0021151285,0.2040268456,0.0843373494,49.0,0,0.3012048193,0.6,4.454901804,3.5,0.4,0.90,2291,0.230769231,0.0120481928,Prudential Financial Inc,2.0,0.6
3.1,3.1,-0.4,0.65,3.3,2.9,0.0229298232,0.3377777778,0.0757575758,46.0,0,0.0606060606,0,370.278614,3,0,0.86,579,0.071428571,0,Reliance Industries India,5.0,0
3.2,3.4,-0.8,0.69,3,2.8,0.0192290828,0.1423076923,0,46.0,0,0.1333333333,0,348.4482954,4,0,0.87,4284,0.272727273,0,Rio Tinto PLC,5.0,0
3.7,3.2,0.0,0.73,3.3,2.8,0.0216205213,0.1691331924,0,42.0,0,0.2142857143,0,43.94237737,3.4,0,0.93,4284,0.214285714,0,Rolls Royce Holding Plc,9.0,0
3.7,3.7,-0.14285714285714285,0.77,3.4,3.1,0.032412776,0.2387511478,0.064516129,44.0,1,0.2419354839,0,370.278614,4,0,0.86,4284,0.272727273,0.0161290323,Royal Dutch Shell PLC,7.0,0
3.4,3,0.0,0.62,2.9,2.4,0.0031284637,0.5324449279,0.447556615,48.0,0,0.7479141836,0.5707116788,117.7410762,3.5,0.1592153285,0.49,4284,0.375,0.0831346842,Royal Mail PLC,3.0,0.8239051095
