AT&T Inc,Abercrombie & Fitch Co.,Accenture PLC,Aditya Birla Group,Air China Limited,Alibaba Group Holding Ltd ADR,Alphabet Inc,Amazon.com Inc,American Airlines Inc,American Express Company,American International Group Inc,Anglo American PLC,Apple Inc,Associated British Foods PLC,AstraZeneca PLC,Audi AG,Aviva PLC,BAE Systems PLC,BHP Billiton PLC,BP PLC,BT Group Plc,Baidu Inc,Banco Santander SA ADR,Bank of America Corporation,Bank of China Limited,Barclays PLC,Barratt Developments PLC,Bayerische Motoren Werke AG,Bharat Petroleum Corporation Ltd ,Bharti Airtel Limited,BlackRock Inc,British American Tobacco Plc,Burberry Group PLC,CVS Health,Carnival Plc,Centrica PLC,Charter Communication Inc,Chevron Corporation,China Mobile Communications Corporation,China Petroleum & Chemical Corp.,Cisco Systems Inc,Citigroup Inc,Colgate-Palmolive Company,Comcast Corporation,Credit Suisse Group,DO NOT MERGE THESE 2 INTO MAIN LIST OR CAPITAL IQ DATA WILL NOT FIT,Daimler AG,Deutsche Bank AG,Deutsche Telekom AG,Diageo PLC,Direct Line Insurance Group PLC,Discovery Communications Inc,Dixons Carphone PLC,Dongfeng Motor Corporation,EasyJet PLC,Ebay Inc,Electronic Arts Inc,Experian PLC,Exxon Mobil Corporation,Facebook Inc,Ford Motor Company,Garmin Ltd,General Electric Company,General Mills Inc,General Motors Company,Glaxosmithkline PLC,Godrej Consumer Products Limited,HSBC Holdings PLC,Haier Group,Hargreaves Lansdown PLC,Hilton Hotels Corporation,Honda Motor Co Ltd,Honeywell International Inc,Huawei Technologies Co. Ltd,ICICI Bank ,ITC Limited ,ITV Plc,Imperial Tobacco Group Plc,Indian Oil Corporation Ltd,Infosys Limited,Intel Corporation,Intercontinental Hotel Group Plc,International Business Machines Corporation,International Consolidated Airlines Group,J Sainsbury PLC,JD Sports Fashion PLC,JPMorgan Chase & Company,Johnson & Johnson,Kingfisher PLC,LVMH Moët Hennessy Louis Vuitton SE,Larsen & Tuobro Limited,Legal & General Group PLC,Lenovo Group Ltd,LinkedIn Corporation,Lloyds Banking Group PLC,London Stock Exchange Group PLC,Marks and Spencer Group PLC,Marriott International,Mastercard Inc,Mattel Inc,Mcdonald's Corpoation,Merck & Co. Inc,Microsoft Corporation,Mondelez International Inc,Monster Beverage Corporation,Morgan Stanley,National Grid PLC,Netflix Inc,News Corporation,Next PLC,Nike Inc,Novartis AG ADR,Nvidia Corporation,Ocado Group,Oracle Corporation,Pearson PLC,Pepsico Inc,Pfizer Inc,Prudential Financial Inc,Reliance Industries India,Rio Tinto PLC,Rolls Royce Holding Plc,Royal Dutch Shell PLC,Royal Mail PLC,Ryanair Ltd,SABMiller PLC,SAP SE ,SSE PLC,"Samsung Electronics Co., Ltd.",Schroders PLC,Severn Trent Plc,Shuanghui Group,Sky Plc,Sony Corporation,SouthWest Airlines Company,Standard Chartered PLC,Standard Life PLC,Staples Inc,Starbucks Corporation,State bank of india,Sun Pharmacutical Industries Limited,TalkTalk Telecom Group,Target Corp,Tata Motors Limited,Tata Steel Limited,Telefonica SA ADR,Tencent Holdings Limited,Tesco PLC,Tesla Motors Inc,The Boeing Company,The Coca-Cola Company,The Goldman Sachs Group Inc,The Home Depot Inc,The Kraft Heinz Company,The Procter & Gamble Company,The Royal Bank of Scotland Group PLC ,The Walt Disney Company,Time Warner Inc,Total SA ADR,Toyota Motor Corp ADR,Travis Perkins PLC,TripAdvisor Inc,Twenty-First Century Fox Inc,Twitter Inc,UBS Group AG,Unilever PLC,United Parcel Servie Inc,Verizon Communications Inc,Viacom Inc,Virgin Money Holdings (UK) PLC,Visa Inc,Vodafone Group Plc,Volkswagen Group,WM Morrison Supermarkets PLC,Wal-Mart Stores Inc. ,Walgreens Boots Alliance Inc,Wells Fargo & Company,Whitbread PLC,Whole Foods Market Inc,Yahoo Inc,country,least_empathic,most_empathic,name,question_missing,timestamp,uuid
,,,,,,,,None,0,,,,,None,,,,None,,None,None,,,,,,,,,-2,,,,None,None,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,None,,,,,,,,,,,None,,,,,None,,,,,,,,,,,-2,None,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,BA,BP,Tesla,,,2016-10-04 07:56:34.480445+00:00,11d32fe4-8a08-11e6-84f2-22000b850714
,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,None,1,,,,,,None,,,1,,,,,,,,,,,,,-1,,,,,1,,,,1,-1,,,1,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,None,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,-2,,,,US,Trump. PetroChina. Sinopec. And the worst polluters in the world. ,"Nike. Starbucks. And Jollibee - it's a Filipino company, loyalty starts when you are a kid, and parents (who grew up on it) pass it down to their kids. Have not seen empathy to rival theirs.",analisa@womensphere.com,,2016-10-05 16:28:45.318633+00:00,c93e146c-8b18-11e6-84f2-22000b850714
,,,,,,,,,0,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,0,0,,,,,,,0,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,BH,,"Triodos, who food,",,,2016-10-04 16:29:00.614352+00:00,a7f2ea36-8a4f-11e6-84f2-22000b850714
0,,,,,,,,,,,,,,None,,,,None,,,,,,,,,,,,,,,None,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,None,,,,,,,,,,,,,,,,,None,,,None,,1,,,,,,-2,,,,-2,,,,,,,0,,1,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,None,,,,,,,,,,-1,,,,,1,None,,,,,,,,,,,,,,,,,,,-2,NO,Exxon,Brunello Cucinelli,,,2016-10-04 11:20:14.094311+00:00,85482300-8a24-11e6-84f2-22000b850714
,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,None,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,1,,,,0,,,,,,,,,0,,,,,,,,,,1,,,1,1,2,,,,,None,,,,,,,,,,0,,,,,,,,,,,,,,,IT,Ing ,Hsbc,francesca@colombo.mygbiz.com,,2016-10-05 15:39:19.417547+00:00,e16d8894-8b11-11e6-84f2-22000b850714
,,,,,,,,,2,,,,,,,,,,,,,,,,-2,,,,,,-2,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,0,0,,0,,,2,,,,,,,,,,,,2,,,,0,,-2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,-2,,,,,-2,,,0,,,,,,,,,,,,,,,,0,,,,,,1,,,,,US,Any oil company,Purpose,lorna.solis@gmail.com,,2016-10-04 22:36:54.800999+00:00,0d2fbee6-8a83-11e6-84f2-22000b850714
,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,,,,,,,,None,,,,,,-1,,0,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,None,,,None,,,,,,,,,,,,,,,,,,1,-1,,,,1,,,,,,,,,,1,,,,,0,,,,,,,,,,,0,US,United,Tom's Shoes,jessica.l.long@accenture.com,What makes a company emphatic?,2016-10-04 13:57:16.777472+00:00,75a3a5a8-8a3a-11e6-84f2-22000b850714
,-2,,None,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,None,,,,,None,,,,,None,,,,,,,,,,,,,,None,,,,,,,,,None,,,,,,,,0,,,,,,,,,,,,,,None,,,,,None,,,,,,,,None,None,,0,,,,,,,,,,,,,,,,,,,,,,,1,,1,-1,,,,,1,,,,,,,,,,,None,,,,,,,,,,NL,McDonald ,Google,,,2016-10-04 06:03:47.302964+00:00,504551f4-89f8-11e6-84f2-22000b850714
,,,,,,,2,,,,,,,,,,,,-1,,,,,,,,2,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,None,,,,,-2,,,,,None,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,2,,,,,-1,,,-1,1,,,,,,,,1,2,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,US,Northrop Grumman,Virgin,,,2016-10-04 14:25:57.456525+00:00,773d997e-8a3e-11e6-84f2-22000b850714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,0,,,,,2,None,,,,1,,,,,2,,,,,2,,,,,,,,None,,,,0,,,None,None,,,,,,,,,,2,,,None,,,,None,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,0,,,,,,,,,,,,,,,,US,Goldman Sachs,Tesla,,"Some of this is how empathy is communicated to customers and other stakeholders.  In many cases companies are doing good and helping, but not sharing in a way that is meaningful to me.  ",2016-10-03 19:46:39.458815+00:00,19f498f4-89a2-11e6-84f2-22000b850714
,,,,,,,,-2,,,None,,,,,,,,-2,,,,,,,,,-2,,,,,,1,,,,,,,1,,,-2,0,,,,,,2,,,,,,,,,,,,,,1,,-2,,None,,,,-2,-2,,,,,,,,,,,,,,,,,,,,None,,,1,,,,,,,,-2,,,,,,,,,,,,,None,,,0,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,Monsanto,Facebook & Google & Salesforce,yobie@acm.org,,2016-10-03 19:32:28.192730+00:00,1e8fdcfe-89a0-11e6-84f2-22000b850714
,,None,None,,,,,,,,,,,-2,,,,,,,,,,,,,,,None,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,None,,,,None,,,,,,,,,,,-2,,,None,,,,-1,,,,,,,,,,-1,,1,-1,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,0,None,,,,,,,None,,,,,1,,,,,,,,,,,,None,,,GB,Coca Cola ,Microsoft ,mjamme@gmail.con,How can your company make the world better through the Sustainsble Development Goals? ,2016-10-04 09:12:44.626117+00:00,b5d73220-8a12-11e6-84f2-22000b850714
,None,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,-2,0,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,-1,,,,2,,,,,,,,,,None,0,None,,,,,-2,,,,,,,,,,None,,,,,,,,,,None,,,,,,,,0,,,,None,,,,,,,,1,,,,,,,,,,,,,,,,PL,"Samsung - seriously, no insights about their costumers wthatsoever and customer care is very... unepathic :D",P&G based on their advertising ;),,"nothing, except if you really want to know ephatic companies, ask about wine producers...",2016-10-03 20:25:50.898130+00:00,9385a9ba-89a7-11e6-84f2-22000b850714
,,1,,,,,,,,,,,,,,None,,,0,,,,,,1,,,None,None,,,,,,,None,,,,,,,,,,,,1,,,,,,1,,,,,,0,,,,,,,,,,,,None,,,,,,,,,,,,None,,,,,,,,,,,,,,,1,,,,,,-1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,None,,,,None,,,,,,1,,,,,,,,,None,,,,,0,,,,,,,,,,,,,,,,RU,JP Morgan,Starbucks,,,2016-10-04 16:41:35.524535+00:00,69e91074-8a51-11e6-84f2-22000b850714
,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,None,-2,0,,,,,,,None,,,,0,1,,-1,,,,,,,None,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,None,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,None,,,,,,,,,-2,,,,None,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,-1,MX,BP,TV Azteca,lmireles@gmail.com,,2016-10-03 20:29:10.425101+00:00,0a73c9d0-89a8-11e6-84f2-22000b850714
-1,,2,,,None,,-1,,,,,,,,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,,,,,1,,,,,,,None,,-2,,,,,,,1,,,,,,,,None,,None,,,None,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,GB,Orcasci Ltd,Facebook,mark_turrell2000@yahoo.com,,2016-10-03 19:34:44.745963+00:00,6ff4b326-89a0-11e6-84f2-22000b850714
,,,None,,,,,,,,,,None,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,-2,,None,,,,,,,,,,,,,,,,,None,,1,,,None,,,,,,,None,,,,,,,,,-2,,None,,,,,1,,,None,,,,,,,,None,,,1,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,None,,,,,,,,,,,,,,,,,,,,,,,FR,,,,,2016-10-04 23:52:14.104852+00:00,92e75706-8a8d-11e6-84f2-22000b850714
-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,None,,,,,,,,,,,,,,,,,,-2,None,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,,,None,,,,,,,,,,None,,,1,,,,,,,,None,,0,,,,,1,,,,,,,,,0,None,,,,,,-1,1,,,0,,,1,,,,,,,,,DE,Deutsche Bank,Coca Cola ,nembal@gmail.com,,2016-10-03 20:27:58.870253+00:00,dfcd62f4-89a7-11e6-84f2-22000b850714
-1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,0,,,0,,,,,,0,,-1,,,,0,-2,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,0,,,,,2,,,,,,,,,-2,-1,,,,,,,,,,,,1,,,0,,,,,,,,,,,GB,Nestle,John Lewis partnerships ,,,2016-10-05 11:26:30.301823+00:00,8fedd4b0-8aee-11e6-84f2-22000b850714
,None,,None,,,,,,,,,,,,1,,,,-1,,0,,,,,,,,,None,,,1,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,None,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,1,,,None,,,,,,,,None,,None,,,,,,,,,,,,,,,,0,,,,,,,,2,,,,,,,,,-1,,,None,,,US,,Alaska airlines,brunosan@gmail.com,,2016-10-04 14:10:00.364732+00:00,3cc5ad4c-8a3c-11e6-84f2-22000b850714
0,,,,,1,,,-2,,-2,,,,,,,,,,,-1,,,,,,,,,,,,,None,,,,,-1,,,,,,,,,,,None,,,,,,,,,,,,,,,2,,,,,,,,,,1,None,,,,,,,,,,,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,1,,,,,None,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,1,,,,,,,1,PH,AIG,Novartis,m.arroyo@hybridigm-consulting.com,,2016-10-04 13:31:35.934730+00:00,df386124-8a36-11e6-84f2-22000b850714
,,-1,,,,,,,,,,,,None,,,,,,,,,,,,,1,,,,,,,,,,,,None,1,,,,-1,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,-2,,,,,,,None,,,,,,,None,,None,,,,,,,,,,,None,,,,,,None,,,,,,,,,,,,0,,,1,,None,,,,,,1,,,None,,,,,,,,,,,,,None,,,,,,,,,HK,UBS,,mummy@zubinfoundation.org,,2016-10-04 11:56:41.237293+00:00,9cebd574-8a29-11e6-84f2-22000b850714
,,0,,,,,0,,,,,-1,,,,,None,,,,,,,-1,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,0,,0,,,,,None,,,,,,,-2,,,0,,,,,,None,,,,,,,None,,,,,,,,0,None,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,2016-10-04 19:34:16.368632+00:00,8972f4ec-8a69-11e6-84f2-22000b850714
,,,None,,,,,1,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,None,,,None,,,,,,1,,,,,,,,,,0,,,,,,,,,-1,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,2,,,,None,,0,,,,,,0,,,,,,,,,,,,CN,Standard charteted,Hsbc,cberube@hjmasialaw.com,,2016-10-04 11:28:12.939419+00:00,a2b2426c-8a25-11e6-84f2-22000b850714
,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,1,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,None,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,1,,,,-1,,,,-1,,,,None,,,,,,1,,,,,,,-2,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,GB,Apple,Walmart,antoniadoueleni@gmail.com,,2016-10-05 09:38:58.739907+00:00,8a8062c2-8adf-11e6-84f2-22000b850714
